title,type,dates,members,score
Berserk,Manga (? vols),Aug 1989 -,"284,351 members",9.33
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga (24 vols),Jan 2004 - Apr 2011,"89,295 members",9.21
Fullmetal Alchemist,Manga (27 vols),Jul 2001 - Sep 2010,"192,662 members",9.13
Monster,Manga (18 vols),Dec 1994 - Dec 2001,"98,599 members",9.07
One Piece,Manga (? vols),Jul 1997 -,"295,195 members",9.07
Vagabond,Manga (37 vols),Mar 1999 - May 2015,"127,626 members",9.04
Oyasumi Punpun,Manga (13 vols),Mar 2007 - Nov 2013,"173,545 members",9.02
Kingdom,Manga (? vols),Jan 2006 -,"69,108 members",9.01
Grand Blue,Manga (? vols),Apr 2014 -,"71,217 members",9.00
Slam Dunk,Manga (31 vols),Sep 1990 - Jun 1996,"66,171 members",8.98
20th Century Boys,Manga (22 vols),Sep 1999 - Apr 2006,"100,562 members",8.96
Solo Leveling,Manhwa (? vols),Mar 2018 -,"70,804 members",8.96
Monogatari Series: First Season,Novel (6 vols),Nov 2006 - Jul 2010,"32,408 members",8.93
Made in Abyss,Manga (? vols),Oct 2012 -,"71,950 members",8.91
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Novel (? vols),Mar 2011 -,"42,516 members",8.90
GTO,Manga (25 vols),Dec 1996 - Jan 2002,"85,623 members",8.89
Ookami to Koushinryou,Novel (? vols),Feb 2006 -,"42,811 members",8.89
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Manga (? vols),May 2015 -,"88,934 members",8.88
Yotsuba to!,Manga (? vols),Mar 2003 -,"93,602 members",8.87
Vinland Saga,Manga (? vols),Apr 2005 -,"110,467 members",8.87
Kaze no Tani no Nausicaä,Manga (7 vols),Oct 1982 - Feb 1994,"34,892 members",8.87
Monogatari Series: Second Season,Novel (6 vols),Oct 2010 - Dec 2011,"11,460 members",8.87
Ashita no Joe,Manga (20 vols),Jan 1968 - May 1973,"21,105 members",8.85
Akatsuki no Yona,Manga (? vols),Aug 2009 -,"73,080 members",8.85
Koe no Katachi,Manga (7 vols),Aug 2013 - Nov 2014,"174,280 members",8.85
Utsuro no Hako to Zero no Maria,Novel (7 vols),Jan 2009 - Jun 2015,"75,357 members",8.84
Uchuu Kyoudai,Manga (? vols),Dec 2007 -,"17,873 members",8.82
Haikyuu!!,Manga (? vols),Feb 2012 -,"83,981 members",8.81
3-gatsu no Lion,Manga (? vols),Jul 2007 -,"30,209 members",8.81
Tower of God,Manhwa (? vols),Jul 2010 -,"37,713 members",8.80
Monogatari Series: Final Season,Novel (6 vols),Sep 2012 - Sep 2014,"9,380 members",8.79
One Punch-Man,Manga (? vols),Jun 2012 -,"239,697 members",8.78
Mushishi,Manga (10 vols),Nov 1999 - Aug 2008,"44,901 members",8.78
Houseki no Kuni,Manga (? vols),Oct 2012 -,"38,904 members",8.77
Natsume Yuujinchou,Manga (? vols),Jun 2003 -,"29,384 members",8.74
Overlord,Novel (? vols),Jul 2012 -,"34,713 members",8.74
Yokohama Kaidashi Kikou,Manga (14 vols),Apr 1994 - Feb 2006,"38,524 members",8.73
Death Note,Manga (12 vols),Dec 2003 - May 2006,"240,248 members",8.73
Real,Manga (? vols),1999 -,"29,466 members",8.72
Akira,Manga (6 vols),Dec 1982 - Jun 1990,"66,395 members",8.72
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",Manga (3 vols),Aug 2016 - Oct 2017,"38,065 members",8.72
Nana,Manga (21 vols),May 2000 - May 2009,"62,336 members",8.70
Beastars,Manga (? vols),Sep 2016 -,"38,349 members",8.70
Hunter x Hunter,Manga (? vols),Mar 1998 -,"142,192 members",8.69
Beck,Manga (34 vols),Feb 2000 - Jun 2008,"38,398 members",8.69
Watashitachi no Shiawase na Jikan,Manga (1 vols),Mar 2008 - Aug 2008,"79,909 members",8.69
Jibaku Shounen Hanako-kun,Manga (? vols),Dec 2014 -,"21,853 members",8.69
Kozure Ookami,Manga (28 vols),Sep 1970 - Apr 1976,"25,405 members",8.68
Shinyaku Toaru Majutsu no Index,Novel (23 vols),Mar 2011 - Jul 2019,"9,291 members",8.68
ReLIFE,Manga (? vols),Oct 2013 - Mar 2018,"96,983 members",8.68
Spy x Family,Manga (? vols),Mar 2019 -,"40,988 members",8.68
Hajime no Ippo,Manga (? vols),Sep 1989 -,"46,853 members",8.68
Shigatsu wa Kimi no Uso,Manga (11 vols),Apr 2011 - Feb 2015,"50,521 members",8.67
Kono Subarashii Sekai ni Shukufuku wo!,Novel (? vols),Oct 2013 -,"26,131 members",8.67
Yagate Kimi ni Naru,Manga (8 vols),Apr 2015 - Sep 2019,"35,387 members",8.67
Who Made Me a Princess,Manhwa (? vols),Dec 2017 -,"5,821 members",8.67
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,Novel (5 vols),Nov 2014 - Apr 2016,"14,947 members",8.66
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Novel (? vols),May 2015 -,"18,144 members",8.66
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,Manga (9 vols),Jan 2012 - Jun 2015,"6,685 members",8.65
Bastard,Manhwa (5 vols),Jul 2014 - May 2016,"39,703 members",8.65
Aria,Manga (12 vols),Feb 2002 - Feb 2008,"22,440 members",8.64
Skip Beat!,Manga (? vols),Feb 2002 -,"71,661 members",8.64
Zaregoto Series,Novel (9 vols),Feb 2002 - Nov 2005,"12,397 members",8.64
Koten-bu Series,Novel (? vols),Oct 2001 -,"9,153 members",8.64
Song of the Long March,Manhua (? vols),Feb 2011 -,"17,868 members",8.65
Rurouni Kenshin: Meiji Kenkaku Romantan,Manga (28 vols),Apr 1994 - Sep 1999,"67,823 members",8.63
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Manga (18 vols),Apr 1992 - Nov 1995,"56,220 members",8.63
Kino no Tabi: The Beautiful World,Novel (? vols),Mar 2000 -,"10,989 members",8.62
Pluto,Manga (8 vols),Sep 2003 - Apr 2009,"51,869 members",8.62
Pandora Hearts,Manga (24 vols),May 2006 - Mar 2015,"111,320 members",8.62
Fate/Zero,Novel (4 vols),Dec 2006 - Dec 2007,"18,645 members",8.62
Kakukaku Shikajika,Manga (5 vols),Nov 2011 - Jan 2015,"15,267 members",8.62
Shoujo Shuumatsu Ryokou,Manga (6 vols),Feb 2014 - Jan 2018,"19,328 members",8.62
Dorohedoro,Manga (23 vols),Nov 2000 - Sep 2018,"61,563 members",8.61
One Outs,Manga (20 vols),Nov 1998 - Aug 2006,"18,229 members",8.61
Kono Oto Tomare!,Manga (? vols),Aug 2012 -,"16,437 members",8.61
No Game No Life,Novel (? vols),Apr 2012 -,"39,729 members",8.61
Mob Psycho 100,Manga (16 vols),Apr 2012 - Dec 2017,"55,625 members",8.61
Suzumiya Haruhi Series,Novel (? vols),Jun 2003 -,"27,425 members",8.60
Sakamichi no Apollon,Manga (9 vols),Sep 2007 - Jan 2012,"19,256 members",8.60
Chikan Otoko,Manga (? vols),2004 - 2004,"34,193 members",8.60
Re:Zero kara Hajimeru Isekai Seikatsu,Novel (? vols),Jan 2014 -,"33,107 members",8.60
Violet Evergarden,Novel (2 vols),Dec 2015 - Dec 2016,"12,377 members",8.60
Yakusoku no Neverland,Manga (? vols),Aug 2016 -,"131,984 members",8.59
Baccano!,Novel (? vols),Feb 2003 -,"12,536 members",8.59
Shingeki no Kyojin,Manga (? vols),Sep 2009 -,"299,013 members",8.58
Mushoku Tensei: Isekai Ittara Honki Dasu,Novel (? vols),Jan 2014 -,"23,824 members",8.58
Shimanami Tasogare,Manga (4 vols),Mar 2015 - May 2018,"22,023 members",8.58
Gekkan Shoujo Nozaki-kun,Manga (? vols),Aug 2011 -,"52,220 members",8.57
Spirit Circle,Manga (6 vols),May 2012 - Mar 2016,"25,041 members",8.57
Kidou Senshi Gundam: The Origin,Manga (24 vols),Jun 2001 - Jun 2014,"7,820 members",8.56
Otoyomegatari,Manga (? vols),Oct 2008 -,"40,487 members",8.56
Tokyo Ghoul,Manga (14 vols),Sep 2011 - Sep 2014,"268,696 members",8.56
Ouran Koukou Host Club,Manga (18 vols),Jul 2002 - Sep 2010,"92,419 members",8.55
Banana Fish,Manga (19 vols),Apr 1985 - Mar 1994,"16,709 members",8.55
The Breaker,Manhwa (10 vols),Jun 2007 - Jul 2010,"99,769 members",8.55
Neon Genesis Evangelion,Manga (14 vols),Dec 1994 - Jun 2013,"61,420 members",8.54
Hi no Tori (1967),Manga (16 vols),Jan 1967 - Feb 1988,"11,429 members",8.54
Kamisama Hajimemashita,Manga (25 vols),Feb 2008 - May 2016,"59,689 members",8.54
Chihayafuru,Manga (? vols),Dec 2007 -,"25,594 members",8.54
Diamond no Ace Act II,Manga (? vols),Aug 2015 -,"8,102 members",8.54
86,Novel (? vols),Feb 2017 -,"6,086 members",8.53
Eyeshield 21,Manga (37 vols),Jul 2002 - Jun 2009,"48,576 members",8.53
"Ohayou, Ibarahime",Manga (6 vols),Nov 2014 - May 2017,"9,205 members",8.53
Gintama,Manga (77 vols),Dec 2003 - Jun 2019,"63,132 members",8.52
Cross Game,Manga (17 vols),Sep 2005 - Feb 2010,"13,524 members",8.52
Juuni Kokuki,Novel (? vols),Jun 1992 -,"5,766 members",8.52
Kami nomi zo Shiru Sekai,Manga (26 vols),Apr 2008 - Apr 2014,"87,253 members",8.52
No.6,Novel (9 vols),Oct 2003 - Jun 2011,"15,177 members",8.52
Koe no Katachi,One-shot (? vols),Jan 2011 - Jan 2011,"46,948 members",8.52
Kimi no Na wa.,Manga (3 vols),May 2016 - Jan 2017,"32,240 members",8.51
Holyland,Manga (18 vols),Oct 2000 - May 2008,"40,971 members",8.50
Ginga Eiyuu Densetsu,Novel (10 vols),Nov 1982 - Nov 1987,"4,748 members",8.50
Noragami,Manga (? vols),Dec 2010 -,"111,082 members",8.50
Horimiya,Manga (? vols),Oct 2011 -,"167,451 members",8.50
Fruits Basket,Manga (23 vols),Jul 1998 - Nov 2006,"100,888 members",8.49
Kyou kara Ore wa!!,Manga (38 vols),1988 - Oct 1997,"12,387 members",8.49
Hinamatsuri,Manga (? vols),Jun 2010 -,"27,976 members",8.49
Umineko no Naku Koro ni,Novel (8 vols),Jul 2009 - Aug 2010,"3,567 members",8.49
Golden Kamuy,Manga (? vols),Aug 2014 -,"34,247 members",8.49
Kimi no Suizou wo Tabetai,Manga (2 vols),Aug 2016 - May 2017,"16,338 members",8.49
Kuroshitsuji,Manga (? vols),Sep 2006 -,"112,429 members",8.48
Onanie Master Kurosawa,Manga (4 vols),Sep 2007 - Mar 2008,"86,978 members",8.48
The Breaker: New Waves,Manhwa (20 vols),Oct 2010 - May 2015,"69,161 members",8.48
Akatsuki no Yona,Novel (? vols),Mar 2015 -,"7,857 members",8.48
21st Century Boys,Manga (2 vols),Dec 2006 - Jul 2007,"39,418 members",8.47
Fullmetal Alchemist,Novel (7 vols),Feb 2003 - Apr 2010,"10,647 members",8.47
Kokou no Hito,Manga (17 vols),2007 - 2012,"28,370 members",8.47
Hoshi no Samidare,Manga (10 vols),Jun 2005 - Aug 2010,"39,556 members",8.47
Steins;Gate,Novel (5 vols),Jun 2011 - May 2012,"5,781 members",8.47
Nodame Cantabile,Manga (25 vols),Jul 2001 - Aug 2010,"20,476 members",8.46
Bakuman.,Manga (20 vols),Aug 2008 - Apr 2012,"121,984 members",8.46
Barakamon,Manga (18 vols),Feb 2008 - Jan 2019,"24,172 members",8.46
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,Manga (6 vols),Oct 2010 - Nov 2012,"7,103 members",8.46
Kimetsu no Yaiba,Manga (? vols),Feb 2016 - May 2020,"100,606 members",8.46
Bakemonogatari,Manga (? vols),Mar 2018 -,"9,838 members",8.46
Dragon Ball,Manga (42 vols),Nov 1984 - May 1995,"94,422 members",8.45
Blade of the Immortal,Manga (30 vols),Jun 1993 - Dec 2012,"42,566 members",8.45
Gunnm,Manga (9 vols),Nov 1990 - Mar 1995,"49,176 members",8.45
Glass no Kamen,Manga (? vols),Jan 1976 -,"7,326 members",8.45
Ookami to Koushinryou,Manga (16 vols),Sep 2007 - Dec 2017,"26,199 members",8.45
Annarasumanara,Manhwa (3 vols),Jul 2010 - Dec 2010,"43,331 members",8.45
Mahoutsukai no Yome,Manga (? vols),Nov 2013 -,"62,751 members",8.45
Youjo Senki,Novel (? vols),Oct 2013 -,"11,401 members",8.45
SQ: Begin W/Your Name!,Manhua (1 vols),Oct 2015 - Oct 2015,"29,526 members",8.45
Basara,Manga (27 vols),Aug 1990 - May 1998,"14,067 members",8.44
My Girl,Manga (5 vols),Jun 2006 - Sep 2010,"18,180 members",8.44
Rainbow: Nisha Rokubou no Shichinin,Manga (22 vols),Nov 2002 - Jan 2010,"14,298 members",8.44
Orange,Manga (6 vols),Mar 2012 - Jan 2017,"100,636 members",8.44
Boku dake ga Inai Machi,Manga (9 vols),Jun 2012 - Nov 2016,"58,988 members",8.44
Boku no Hero Academia,Manga (? vols),Jul 2014 -,"223,620 members",8.44
Fumetsu no Anata e,Manga (? vols),Nov 2016 -,"34,104 members",8.44
Shin Angyo Onshi,Manga (17 vols),Mar 2001 - Aug 2007,"25,464 members",8.43
Doraemon,Manga (45 vols),Dec 1969 - 1996,"7,984 members",8.43
Toaru Majutsu no Index,Novel (22 vols),Apr 2004 - Oct 2010,"20,177 members",8.43
Ookami Kodomo no Ame to Yuki,Manga (3 vols),Apr 2012 - Aug 2013,"15,100 members",8.43
Kusuriya no Hitorigoto,Manga (? vols),May 2017 -,"10,950 members",8.43
Kaichou wa Maid-sama!,Manga (18 vols),Dec 2005 - Sep 2013,"111,806 members",8.42
